docente;CD-EVALSILABO1;CD-EVALFIN2;CD-EVALINI3;CD-EVENTOSREAL4;CD-AVANCESILABO5;CD-CONTSILAB6;CD-RESPONDE7;CD-PRACTICAS8;EM-RETO1;EM-IDEA2;EM-PART3
DC1;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00
DC2;3,38;3,58;3,27;3,62;3,54;3,69;3,58;3,73;3,31;3,04;3,38
DC3;3,00;4,00;4,00;4,00;3,00;4,00;4,00;4,00;4,00;4,00;4,00
DC4;2,31;3,25;2,13;3,00;2,38;3,13;2,88;1,69;2,38;2,06;2,38
DC5;2,80;3,20;2,80;3,40;3,60;3,60;3,60;3,80;3,40;3,20;3,20
DC6;2,34;2,94;1,77;3,00;2,66;2,83;2,66;1,66;2,26;2,34;2,60
DC7;3,85;3,77;3,77;3,77;3,85;4,00;4,00;3,85;3,85;3,92;4,00
DC8;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00
DC9;3,50;3,00;2,50;3,50;3,00;3,50;4,00;4,00;3,50;3,00;3,00
DC10;2,80;3,00;3,70;3,60;3,00;3,30;3,40;2,90;3,30;3,40;3,60
DC11;3,00;3,25;2,88;3,50;3,38;3,50;3,38;3,63;3,38;3,38;3,25
DC12;3,00;3,50;3,00;3,67;3,83;3,83;3,83;3,67;3,67;3,67;3,83
DC13;3,67;4,00;3,00;4,00;3,67;3,67;4,00;3,33;4,00;3,67;4,00
DC14;2,92;2,92;2,33;2,92;2,67;2,92;3,00;3,58;2,92;2,83;3,00
DC15;3,40;3,20;2,80;3,00;2,80;3,20;3,60;4,00;3,20;2,80;2,80
DC16;2,00;2,00;3,00;2,00;3,00;2,00;3,00;3,00;3,00;3,00;3,00
DC17;3,40;3,60;3,40;3,20;4,00;4,00;3,60;2,80;3,80;3,40;3,00
DC18;3,38;3,38;2,92;3,08;3,46;3,23;3,23;2,54;2,92;2,92;3,38
DC19;3,50;3,40;3,30;3,80;3,50;3,70;3,70;3,70;3,50;3,70;3,70
DC20;3,29;3,47;2,94;3,71;3,59;3,71;3,82;3,24;3,53;3,53;3,76
DC21;2,64;3,00;2,73;3,45;3,00;3,18;3,64;3,18;3,27;3,36;3,45
DC22;2,70;2,40;2,40;3,40;2,20;2,80;3,60;2,60;3,40;3,50;3,40
DC23;3,80;3,40;3,40;3,60;3,60;3,80;3,80;3,80;3,60;3,80;3,60
DC24;3,00;3,00;1,50;3,50;3,50;3,50;3,50;2,00;2,50;3,00;3,00
DC25;4,00;4,00;1,00;3,00;4,00;3,00;3,00;4,00;4,00;1,00;4,00
DC26;3,25;4,00;3,50;3,75;4,00;4,00;3,75;3,25;3,50;3,25;3,50
